uf,escolaridade,curso,area_atuacao,inscritos,selecionados,nao_cert,certificados,abandonos,evasoes
AC,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
AL,Especialista,Formação de Mediadores - 01/2016,CREAS,1,1,0,0,0,1
AL,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,3,3,0,2,1,0
AL,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
AL,Mestrando,Formação de Mediadores - 01/2016,Outros,1,1,0,1,0,0
BA,Especialista,Formação de Mediadores - 01/2016,CREAS,2,2,0,1,1,0
BA,Especialista,Formação de Mediadores - 01/2016,Outros,2,2,1,1,0,0
BA,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,3,3,1,1,1,0
BA,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Justiça,1,1,1,0,0,0
BA,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,3,3,2,1,0,0
BA,Mestrado,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,0,2,0,0
BA,Superior Completo,Formação de Mediadores - 01/2016,CREAS,2,2,0,0,2,0
BA,Superior Completo,Formação de Mediadores - 01/2016,Outros,1,1,0,1,0,0
BA,Superior Completo,Formação de Mediadores - 01/2016,Secretaria de Educação,1,1,0,0,1,0
BA,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,3,3,2,1,0,0
CE,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,3,3,0,3,0,0
CE,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
CE,Superior Completo,Formação de Mediadores - 01/2016,Conselhos,1,1,0,0,1,0
CE,Superior Completo,Formação de Mediadores - 01/2016,CREAS,1,1,0,0,1,0
CE,Superior Completo,Formação de Mediadores - 01/2016,Outros,1,1,1,0,0,0
CE,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
DF,Doutorado,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
DF,Doutorando,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
DF,Especialista,Formação de Mediadores - 01/2016,Outros,2,2,1,0,1,0
DF,Especialista,Formação de Mediadores - 01/2016,Secretaria de Educação,1,1,0,1,0,0
DF,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,3,3,0,2,1,0
DF,Estudante Superior,Formação de Mediadores - 01/2016,Conselhos,1,1,0,1,0,0
DF,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,0,1,0,1
DF,Superior Completo,Formação de Mediadores - 01/2016,Outros,2,2,0,2,0,0
DF,Superior Completo,Formação de Mediadores - 01/2016,Secretaria de Educação,1,1,1,0,0,0
DF,Superior Completo,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,2,2,1,1,0,0
ES,Especialista,Formação de Mediadores - 01/2016,Conselhos,1,1,1,0,0,0
ES,Especialista,Formação de Mediadores - 01/2016,Outros,2,2,0,0,2,0
ES,Especialista,Formação de Mediadores - 01/2016,Sistema Justiça,1,1,1,0,0,0
ES,Especialista,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,5,5,2,1,1,1
ES,Estudante Superior,Formação de Mediadores - 01/2016,Conselhos,1,1,0,1,0,0
ES,Estudante Superior,Formação de Mediadores - 01/2016,Outros,2,2,2,0,0,0
ES,Estudante Superior,Formação de Mediadores - 01/2016,Secretaria de Educação,1,1,0,1,0,0
ES,Estudante Superior,Formação de Mediadores - 01/2016,Secretaria de Saúde,1,1,1,0,0,0
ES,Estudante Superior,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,5,5,3,0,1,1
ES,Nível Médio,Formação de Mediadores - 01/2016,CREAS,1,1,0,1,0,0
ES,Nível Médio,Formação de Mediadores - 01/2016,Sistema Sinase - Unidades socioeducativas,12,12,5,2,2,3
