uf,escolaridade,ordem_escolaridade,curso,ordem_area_atuacao,area_atuacao,inscritos,selecionados,nao_cert,certificados,abandonos,evasoes
AC,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
AL,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
AL,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,3,0,2,1,0
AL,Especialista,5,Formação de Mediadores - 01/2016,2,CREAS,1,1,0,0,0,1
AL,Mestrando,6,Formação de Mediadores - 01/2016,7,Outros,1,1,0,1,0,0
BA,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,3,2,1,0,0
BA,Estudante Superior,3,Formação de Mediadores - 01/2016,6,Sistema Justiça,1,1,1,0,0,0
BA,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,3,2,1,0,0
BA,Superior Completo,4,Formação de Mediadores - 01/2016,2,CREAS,2,2,0,0,2,0
BA,Superior Completo,4,Formação de Mediadores - 01/2016,4,Secretaria de Educação,1,1,0,0,1,0
BA,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,1,1,0,1,0,0
BA,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,3,1,1,1,0
BA,Especialista,5,Formação de Mediadores - 01/2016,2,CREAS,2,2,0,1,1,0
BA,Especialista,5,Formação de Mediadores - 01/2016,7,Outros,2,2,1,1,0,0
BA,Mestrado,7,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,0,2,0,0
CE,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
CE,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
CE,Superior Completo,4,Formação de Mediadores - 01/2016,2,CREAS,1,1,0,0,1,0
CE,Superior Completo,4,Formação de Mediadores - 01/2016,3,Conselhos,1,1,0,0,1,0
CE,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,1,1,1,0,0,0
CE,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,3,0,3,0,0
DF,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,0,1,0,1
DF,Estudante Superior,3,Formação de Mediadores - 01/2016,3,Conselhos,1,1,0,1,0,0
DF,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,1,1,0,0
DF,Superior Completo,4,Formação de Mediadores - 01/2016,4,Secretaria de Educação,1,1,1,0,0,0
DF,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,2,2,0,2,0,0
DF,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,3,0,2,1,0
DF,Especialista,5,Formação de Mediadores - 01/2016,4,Secretaria de Educação,1,1,0,1,0,0
DF,Especialista,5,Formação de Mediadores - 01/2016,7,Outros,2,2,1,0,1,0
DF,Doutorando,8,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
DF,Doutorado,9,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
ES,Médio Completo,2,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,12,12,5,2,2,3
ES,Médio Completo,2,Formação de Mediadores - 01/2016,2,CREAS,1,1,0,1,0,0
ES,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,5,5,3,0,1,1
ES,Estudante Superior,3,Formação de Mediadores - 01/2016,3,Conselhos,1,1,0,1,0,0
ES,Estudante Superior,3,Formação de Mediadores - 01/2016,4,Secretaria de Educação,1,1,0,1,0,0
ES,Estudante Superior,3,Formação de Mediadores - 01/2016,5,Secretaria de Saúde,1,1,1,0,0,0
ES,Estudante Superior,3,Formação de Mediadores - 01/2016,7,Outros,2,2,2,0,0,0
ES,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,3,3,2,0,1,0
ES,Superior Completo,4,Formação de Mediadores - 01/2016,2,CREAS,2,2,1,0,1,0
ES,Superior Completo,4,Formação de Mediadores - 01/2016,5,Secretaria de Saúde,1,1,0,1,0,0
ES,Superior Completo,4,Formação de Mediadores - 01/2016,6,Sistema Justiça,2,2,1,1,0,0
ES,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,3,3,2,0,1,0
ES,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,5,5,2,1,1,1
ES,Especialista,5,Formação de Mediadores - 01/2016,3,Conselhos,1,1,1,0,0,0
ES,Especialista,5,Formação de Mediadores - 01/2016,6,Sistema Justiça,1,1,1,0,0,0
ES,Especialista,5,Formação de Mediadores - 01/2016,7,Outros,2,2,0,0,2,0
GO,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,2,2,1,1,0,0
GO,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,0,1,0
GO,Especialista,5,Formação de Mediadores - 01/2016,2,CREAS,1,1,0,0,1,0
GO,Especialista,5,Formação de Mediadores - 01/2016,7,Outros,1,1,1,0,0,0
GO,Mestrado,7,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
MA,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,0,1,0
MA,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,4,4,2,2,0,0
MA,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
MG,Médio Completo,2,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
MG,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,0,1,0
MG,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,1,1,1,0,0,0
MG,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
MG,Especialista,5,Formação de Mediadores - 01/2016,6,Sistema Justiça,1,1,1,0,0,0
MG,Mestrando,6,Formação de Mediadores - 01/2016,2,CREAS,1,1,0,1,0,0
MS,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
MS,Especialista,5,Formação de Mediadores - 01/2016,2,CREAS,1,1,1,0,0,0
MS,Mestrado,7,Formação de Mediadores - 01/2016,6,Sistema Justiça,1,1,0,1,0,0
MT,Médio Completo,2,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
MT,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
MT,Estudante Superior,3,Formação de Mediadores - 01/2016,7,Outros,1,1,0,1,0,0
MT,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,7,7,3,2,1,1
MT,Superior Completo,4,Formação de Mediadores - 01/2016,6,Sistema Justiça,2,2,1,0,0,1
MT,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,4,4,0,0,4,0
MT,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,2,2,1,0,1,0
MT,Especialista,5,Formação de Mediadores - 01/2016,7,Outros,2,2,1,0,0,1
MT,Mestrado,7,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
PA,Estudante Superior,3,Formação de Mediadores - 01/2016,2,CREAS,1,1,0,0,1,0
PA,Estudante Superior,3,Formação de Mediadores - 01/2016,7,Outros,1,1,1,0,0,0
PA,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,0,1,0
PA,Superior Completo,4,Formação de Mediadores - 01/2016,2,CREAS,1,1,0,0,1,0
PA,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,1,1,1,0,0,0
PA,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,0,1,0
PB,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
PB,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,1,0,0,0
PB,Especialista,5,Formação de Mediadores - 01/2016,7,Outros,2,2,1,0,1,0
PB,Mestrado,7,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,1,1,0,1,0,0
PE,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,4,4,1,2,1,0
PE,Especialista,5,Formação de Mediadores - 01/2016,2,CREAS,2,2,1,0,0,1
PE,Especialista,5,Formação de Mediadores - 01/2016,6,Sistema Justiça,1,1,0,0,0,1
PE,Especialista,5,Formação de Mediadores - 01/2016,7,Outros,1,1,1,0,0,0
PR,Médio Completo,2,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,4,4,1,2,0,1
PR,Médio Completo,2,Formação de Mediadores - 01/2016,7,Outros,1,1,0,1,0,0
PR,Estudante Superior,3,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,5,5,0,4,1,0
PR,Superior Completo,4,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,7,7,3,2,0,2
PR,Superior Completo,4,Formação de Mediadores - 01/2016,2,CREAS,2,2,1,1,0,0
PR,Superior Completo,4,Formação de Mediadores - 01/2016,6,Sistema Justiça,2,2,2,0,0,0
PR,Superior Completo,4,Formação de Mediadores - 01/2016,7,Outros,1,1,1,0,0,0
PR,Especialista,5,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,12,12,1,11,0,0
PR,Especialista,5,Formação de Mediadores - 01/2016,2,CREAS,3,3,1,0,1,1
PR,Especialista,5,Formação de Mediadores - 01/2016,6,Sistema Justiça,3,3,2,1,0,0
PR,Especialista,5,Formação de Mediadores - 01/2016,7,Outros,2,2,0,1,1,0
PR,Mestrado,7,Formação de Mediadores - 01/2016,1,Sistema Sinase - Unidades socioeducativas,4,4,1,3,0,0
